T_cell;CD8_T;CD4_mem_T;Naive_Tcell;B_cell;NK_cell;Neutrophil;RBC;Fibroblast;Endothelial;Myocyte;Adipocyte;Epithelial;Macrophage;Platelet;DC;FCGR3A_mono;CD14_mono
Cd3g;Cd3g;Cd3g;Cd3g;Cd79a;Nkg7;S100a8;Hbb-bt;Vim;Tmem100;Myod1;Fabp7;Krt5;Lyz2;Ppbp;FCER1A;FCGR3A;CD14
Thy1;Thy1;Thy1;Thy1;CD74;Nrc1;S100a9;Alas2;Col1a1;Egfl7;Des;Plp1;Krt14;Ms4a6d;gp9;Clec10A;MS4A7;Lyz
Cd3e;Cd3e;Cd3e;Cd3e;Ebf1;Gzmb;Retnlg;Snca;Col3a1;Ramp2;Actc1;Sox10;Perp;Ctss;cd9;CST3;;
Cd3d;Cd3d;Cd3d;Cd3d;Ms4a1;Gzma;Wfdc17;Hba-a2;Col6a1;Cldn5;Tnnt1;Moxd1;Sfn;;clu;;;
;Cd8a;Cd4;Ccr7;Cd79b;Klre;G0s2;Hba-a1;Vim;Epas1;Myog;Phactr1;;;;;;
;Cd8b1;;Sell;Cd83;Klra3;Wfdc21;Hbb-bs;;Calcrl;Tnnt2;;;;;;;
;;;;;Klrd1;Msrb1;Hbb-y;;Tspan7;Ttn;;;;;;;
;;;;;GNLY;;Hbb-bh1;;Aqp1;;;;;;;;
;;;;;;;;;Gpihbp1;;;;;;;;
